trendTime,all,one,two,three,half,res
2023-04-21 05:23:10,0.38,0.08,0.37,2.47,0.85,0.18
2023-04-21 05:43:10,0.37,0.08,0.36,2.47,0.84,0.19
2023-04-21 06:03:10,0.37,0.08,0.37,2.45,0.85,0.18
2023-04-21 06:23:10,0.37,0.08,0.36,2.48,0.85,0.18
2023-04-21 06:43:09,0.37,0.08,0.37,2.47,0.85,0.18
2023-04-21 07:03:10,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-21 07:23:10,0.37,0.08,0.36,2.47,0.85,0.2
2023-04-21 07:43:27,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-21 08:03:26,0.37,0.08,0.36,2.49,0.86,0.18
2023-04-21 08:23:25,0.38,0.08,0.37,2.47,0.86,0.19
2023-04-21 08:43:25,0.37,0.08,0.36,2.49,0.86,0.18
2023-04-21 09:03:25,0.37,0.08,0.36,2.5,0.84,0.19
2023-04-21 09:23:25,0.37,0.08,0.37,2.48,0.84,0.19
2023-04-21 09:43:25,0.37,0.08,0.36,2.46,0.86,0.19
2023-04-21 10:03:25,0.37,0.08,0.36,2.46,0.84,0.19
2023-04-21 10:28:51,0.37,0.08,0.37,2.47,0.86,0.18
2023-04-21 10:48:49,0.37,0.08,0.37,2.49,0.86,0.2
2023-04-21 11:08:48,0.37,0.08,0.36,2.47,0.84,0.18
2023-04-21 11:28:47,0.37,0.08,0.37,2.47,0.85,0.19
2023-04-21 11:48:46,0.37,0.08,0.36,2.48,0.85,0.18
2023-04-21 12:08:45,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-21 12:28:46,0.37,0.08,0.36,2.47,0.85,0.2
2023-04-21 12:48:56,0.37,0.08,0.36,2.47,0.85,0.19
2023-04-21 13:08:56,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-21 13:28:58,0.37,0.08,0.37,2.46,0.85,0.18
2023-04-21 13:48:57,0.37,0.08,0.36,2.45,0.85,0.19
2023-04-21 14:08:57,0.37,0.08,0.37,2.44,0.86,0.18
2023-04-21 14:28:58,0.37,0.08,0.36,2.48,0.85,0.17
2023-04-21 14:48:57,0.37,0.08,0.36,2.49,0.85,0.19
2023-04-21 15:08:57,0.37,0.08,0.36,2.46,0.85,0.18
2023-04-21 15:28:57,0.37,0.08,0.37,2.46,0.86,0.19
2023-04-21 15:48:58,0.37,0.08,0.36,2.49,0.84,0.18
2023-04-21 16:09:07,0.37,0.08,0.36,2.5,0.85,0.18
2023-04-21 16:29:07,0.37,0.08,0.37,2.47,0.86,0.18
2023-04-21 16:49:06,0.37,0.08,0.36,2.49,0.84,0.19
2023-04-21 17:09:05,0.37,0.08,0.37,2.48,0.86,0.18
2023-04-21 17:29:04,0.37,0.08,0.37,2.46,0.85,0.18
2023-04-21 17:49:04,0.38,0.08,0.37,2.49,0.85,0.19
2023-04-21 18:09:05,0.37,0.08,0.37,2.48,0.85,0.19
2023-04-21 18:29:05,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-21 18:49:03,0.37,0.08,0.36,2.48,0.85,0.18
2023-04-21 19:09:19,0.37,0.08,0.36,2.49,0.85,0.2
2023-04-21 19:29:50,0.38,0.08,0.37,2.46,0.85,0.2
2023-04-21 19:49:49,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-21 20:09:48,0.37,0.08,0.37,2.49,0.85,0.19
2023-04-21 20:29:48,0.37,0.08,0.37,2.48,0.85,0.19
2023-04-21 20:49:47,0.37,0.08,0.36,2.48,0.85,0.18
2023-04-21 21:09:54,0.37,0.08,0.36,2.48,0.85,0.18
2023-04-21 21:29:56,0.37,0.08,0.37,2.45,0.86,0.19
2023-04-21 21:49:59,0.37,0.08,0.36,2.49,0.85,0.18
2023-04-21 22:09:59,0.37,0.08,0.37,2.45,0.85,0.19
2023-04-21 22:30:01,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-21 22:50:02,0.37,0.08,0.37,2.47,0.84,0.19
2023-04-21 23:10:02,0.37,0.08,0.36,2.47,0.85,0.18
2023-04-21 23:30:03,0.37,0.08,0.37,2.48,0.86,0.19
2023-04-21 23:50:03,0.37,0.08,0.37,2.46,0.85,0.18
2023-04-22 00:10:03,0.37,0.08,0.37,2.47,0.85,0.19
2023-04-22 00:30:03,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-22 00:50:01,0.37,0.08,0.36,2.5,0.85,0.19
2023-04-22 01:10:01,0.37,0.08,0.37,2.46,0.85,0.18
2023-04-22 01:30:01,0.37,0.08,0.37,2.47,0.85,0.19
2023-04-22 01:50:00,0.37,0.08,0.37,2.45,0.85,0.18
2023-04-22 02:10:01,0.37,0.08,0.36,2.47,0.85,0.18
2023-04-22 02:30:45,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-22 02:50:44,0.37,0.08,0.37,2.48,0.85,0.18
2023-04-22 03:10:44,0.37,0.08,0.37,2.46,0.86,0.18
