y_test,y_pred
9566.63,8497.882
9540.43,8509.53
9541.23,8507.472
9537.06,8500.773
9545.4,8492.987
9542.2,8492.448
9550.68,8493.558
9558.86,8499.059
9561.24,8507.69
9553.03,8514.656
9552.18,8515.083
9543.03,8511.669
9550.46,8503.367
9560.99,8499.874
9539.94,8504.613
9551.25,8501.109
9564.99,8501.482
9543.39,8509.466
9541.25,8506.279
9548.64,8499.946
9559.31,8498.502
9541.82,8504.625
9551.01,8502.082
9568.02,8502.152
9545.91,8511.527
9554.2,8509.785
9543.95,8508.184
9548.13,8502.96
9557.19,8500.245
9560.38,8503.664
9556.87,8509.561
9559.42,8511.894
9548.45,8513.275
9556.34,8508.374
9553.81,8506.8
9548.29,8505.663
9540.68,8503.342
9556.78,8497.999
9551.2,8500.882
9567.44,8503.939
9538.26,8512.946
9544.6,8507.657
9564.98,8501.866
9558.44,8507.448
9565.84,8511.4795
9552.15,8516.821
9556.83,8514.211
9543.13,8510.872
9546.06,8502.484
9537.45,8496.603
9539.93,8490.38
9561.06,8488.911
9543.06,8500.506
9560.68,8503.816
9550.47,8511.013
9556.75,8511.3545
9552.73,8511.738
9542.29,8509.167
9539.44,8501.733
9553.42,8494.459
9540.8,8496.754
9545.51,8496.307
9540.71,8497.686
9540.06,8496.707
9540.75,8495.093
9561.54,8494.678
9541.24,8504.647
9557.92,8504.505
9545.61,8508.001
9539.36,8505.887
9555.44,8499.187
9560.75,8500.582
9557.83,8507.38
9549.9,8512.141
9543.06,8510.6875
9544.95,8504.216
9539.9,8498.863
9569.2,8493.484
9558.13,8504.222
9559.38,8511.722
9177.96,8515.797
8530.67,8342.16
8523.22,7877.4834
8513.37,7496.173
8510.46,7314.8813
8531.37,7312.281
8513.97,7419.1826
8526.73,7536.872
8541.64,7626.3433
8518.18,7674.6865
8515.52,7670.1636
8524.3,7637.5596
8520.2,7604.4736
8540.77,7578.125
8540.82,7572.4175
8538.84,7576.351
8530.6,7581.6045
8540.86,7581.7295
8525.01,7584.856
8522.23,7581.3145
8534.84,7575.7925
8528.05,7578.1187
8537.87,7579.936
8511.61,7586.4277
8509.97,7580.088
8522.25,7570.512
8540.92,7569.604
8514.53,7581.9824
8511.45,7582.2983
8532.64,7576.352
8526.19,7580.054
8539.54,7583.2266
8520.86,7591.0723
8517.55,7588.349
8529.46,7580.7017
8527.93,7579.491
8529.25,7580.94
8522.59,7583.5913
8513.21,7582.3115
7668.69,7576.062
7609.65,7183.9937
7609.14,6780.7407
7612.0,6547.0195
7606.48,6499.2334
7599.28,6569.127
7595.84,6674.835
7595.7,6761.8545
7608.89,6808.026
7601.530000000001,6821.504
7591.1,6806.515
7604.620000000001,6774.6167
7602.090000000001,6750.3486
7599.139999999999,6734.376
7609.66,6725.957
7610.27,6728.5674
7599.54,6735.3013
7590.35,6737.054
7590.35,6732.458
7605.69,6727.469
7599.79,6732.264
7611.71,6736.9243
7590.28,6746.0415
7604.8,6743.295
7599.37,6743.616
7599.150000000001,6742.296
7595.3,6741.03
7589.68,6738.2207
7593.64,6733.8726
7611.62,6732.34
7602.27,6741.227
7590.53,6746.6753
7598.79,6743.0376
7589.15,6740.644
7606.589999999999,6735.1973
7604.04,6738.797
7609.99,6743.735
7605.25,6749.685
7595.95,6751.25
8335.31,6745.7534
9268.88,7078.6465
9568.16,7835.665
9573.89,8566.615
9566.11,8949.151
9555.39,8985.219
9565.66,8817.803
9557.63,8610.62
9567.6,8451.523
9545.96,8378.327
9556.6,8366.519
9540.36,8401.757
9559.81,8444.459
9556.32,8491.064
9553.45,8524.384
9543.81,8539.625
9564.41,8536.775
9550.7,8536.862
9541.7,8529.204
9536.98,8516.289
9559.15,8502.708
9552.31,8504.813
9556.24,8508.389
9557.93,8512.059
9536.86,8515.105
9538.93,8505.882
9545.9,8497.035
9541.47,8495.045
9537.75,8494.216
9545.18,8492.273
9562.4,8494.277
9565.5,8505.513
9540.94,8517.422
9546.28,8512.681
9540.5,8505.073
9534.9,8496.997
9537.35,8488.816
9537.17,8485.793
9535.27,8486.038
9537.05,8487.387
9548.45,8490.443
9557.17,8498.29
9549.44,8508.591
9545.41,8511.775
9542.48,8508.128
9540.11,8501.508
9538.11,8494.73
9560.76,8490.471
9537.46,8499.422
9565.17,8499.188
9555.62,8508.781
9554.78,8512.776
9557.38,8513.181
9538.89,8512.242
9536.74,8502.405
9537.8,8491.805
9534.46,8486.556
9547.47,8484.481
9553.12,8491.111
8888.84,8501.022
