time,GenPCal
2021-11-03 09:45:22.527,8496.27
2021-11-03 09:45:25.687,8514.69
2021-11-03 09:45:28.827,8498.81
2021-11-03 09:45:31.867,8520.95
2021-11-03 09:45:34.867,8510.77
2021-11-03 09:45:37.867,8499.23
2021-11-03 09:45:40.867,8506.04
2021-11-03 09:45:44.307,8498.82
2021-11-03 09:45:47.407,8519.42
2021-11-03 09:45:50.567,8500.88
2021-11-03 09:45:53.707,8507.52
2021-11-03 09:45:56.827,8508.67
2021-11-03 09:45:59.867,8496.63
2021-11-03 09:46:02.867,8502.52
2021-11-03 09:46:05.867,8522.23
2021-11-03 09:46:08.867,8496.58
2021-11-03 09:46:12.287,8515.62
2021-11-03 09:46:15.387,8502.25
2021-11-03 09:46:18.487,8509.01
2021-11-03 09:46:21.567,8506.5
2021-11-03 09:46:24.707,8514.9
2021-11-03 09:46:27.807,8499.4
2021-11-03 09:46:30.867,8505.65
2021-11-03 09:46:33.867,8519.61
2021-11-03 09:46:36.867,8512.98
2021-11-03 09:46:39.867,8505.39
2021-11-03 09:46:43.287,8498.68
2021-11-03 09:46:46.387,8522.09
2021-11-03 09:46:49.547,8499.5
2021-11-03 09:46:52.647,8507.82
2021-11-03 09:46:55.747,8510.77
2021-11-03 09:46:58.827,8500.5
2021-11-03 09:47:01.867,8519.92
2021-11-03 09:47:04.867,8520.98
2021-11-03 09:47:07.867,8500.0
2021-11-03 09:47:10.867,8508.98
2021-11-03 09:47:14.307,8499.29
2021-11-03 09:47:17.387,8521.73
2021-11-03 09:47:20.487,8511.69
2021-11-03 09:47:23.647,8498.46
2021-11-03 09:47:26.747,8514.13
2021-11-03 09:47:29.847,8499.27
2021-11-03 09:47:32.867,8522.35
2021-11-03 09:47:35.867,8513.02
2021-11-03 09:47:38.867,8497.78
2021-11-03 09:47:41.867,8504.55
2021-11-03 09:47:45.327,8497.87
2021-11-03 09:47:48.487,8520.98
2021-11-03 09:47:51.587,8496.68
2021-11-03 09:47:54.687,8513.6
2021-11-03 09:47:57.787,8506.16
2021-11-03 09:48:00.847,8505.04
2021-11-03 09:48:03.867,8521.47
2021-11-03 09:48:06.867,8505.06
2021-11-03 09:48:09.867,8497.62
2021-11-03 09:48:13.267,8514.85
2021-11-03 09:48:16.367,8499.44
2021-11-03 09:48:19.447,8521.95
2021-11-03 09:48:22.547,8496.1
2021-11-03 09:48:25.647,8512.1
2021-11-03 09:48:28.747,8503.31
2021-11-03 09:48:31.847,8499.09
2021-11-03 09:48:34.847,8521.14
2021-11-03 09:48:37.867,8497.59
2021-11-03 09:48:40.847,8504.32
2021-11-03 09:48:44.247,8502.2
2021-11-03 09:48:47.587,8513.45
2021-11-03 09:48:50.847,8510.09
2021-11-03 09:48:53.847,8505.07
2021-11-03 09:48:56.867,8506.33
2021-11-03 09:49:00.507,8522.78
2021-11-03 09:49:03.587,8506.1
2021-11-03 09:49:06.707,8497.44
2021-11-03 09:49:09.847,8514.25
2021-11-03 09:49:13.267,8517.49
2021-11-03 09:49:16.527,8498.67
2021-11-03 09:49:19.787,8509.7
2021-11-03 09:49:22.867,8497.15
2021-11-03 09:49:26.347,8520.45
2021-11-03 09:49:29.427,8500.39
2021-11-03 09:49:32.727,8511.18
2021-11-03 09:49:35.807,8502.99
2021-11-03 09:49:38.867,8510.04
2021-11-03 09:49:41.867,8517.1
2021-11-03 09:49:44.867,8498.23
2021-11-03 09:49:48.267,8516.98
2021-11-03 09:49:51.367,8500.87
2021-11-03 09:49:54.447,8510.92
2021-11-03 09:49:57.727,8506.07
2021-11-03 09:50:00.867,8506.08
2021-11-03 09:50:04.247,8508.37
2021-11-03 09:50:07.587,8520.46
2021-11-03 09:50:10.687,8494.52
2021-11-03 09:50:13.787,8511.76
2021-11-03 09:50:16.847,8509.46
2021-11-03 09:50:19.847,8497.82
2021-11-03 09:50:22.847,8512.02
2021-11-03 09:50:25.867,8520.82
2021-11-03 09:50:29.287,8499.05
2021-11-03 09:50:32.547,8504.64
2021-11-03 09:50:35.827,8523.32
2021-11-03 09:50:38.867,8502.56
2021-11-03 09:50:42.347,8514.8
2021-11-03 09:50:45.507,8505.99
2021-11-03 09:50:48.587,8508.08
2021-11-03 09:50:51.687,8514.26
2021-11-03 09:50:54.787,8498.65
2021-11-03 09:50:57.867,8515.47
2021-11-03 09:51:00.867,8506.03
2021-11-03 09:51:03.867,8497.36
2021-11-03 09:51:06.867,8518.11
2021-11-03 09:51:10.447,8511.9
2021-11-03 09:51:13.727,8496.88
2021-11-03 09:51:16.867,8504.98
2021-11-03 09:51:20.327,8508.07
2021-11-03 09:51:23.607,8515.21
2021-11-03 09:51:26.707,8499.65
