time,Ng,GenPCal
2021-11-02 12:02:29.677,12963.0,9538.91
2021-11-02 12:02:33.137,12976.06,9525.15
2021-11-02 12:02:36.317,12972.02,9547.62
2021-11-02 12:02:39.417,12972.17,9522.84
2021-11-02 12:02:42.577,12972.49,9541.55
2021-11-02 12:02:45.677,12975.01,9532.73
2021-11-02 12:02:48.677,12974.2,9521.66
2021-11-02 12:02:51.677,12975.11,9552.22
2021-11-02 12:02:55.097,12976.08,9528.2
2021-11-02 12:02:58.237,12970.15,9541.56
2021-11-02 12:03:01.317,12966.55,9522.63
2021-11-02 12:03:04.517,12961.45,9541.68
2021-11-02 12:03:07.657,12963.72,9536.9
2021-11-02 12:03:10.677,12964.67,9526.88
2021-11-02 12:03:13.657,12964.14,9541.94
2021-11-02 12:03:16.677,12964.67,9520.93
2021-11-02 12:03:20.097,12973.27,9548.1
2021-11-02 12:03:23.197,12971.04,9525.03
2021-11-02 12:03:26.337,12974.98,9540.09
2021-11-02 12:03:29.517,12975.05,9528.02
2021-11-02 12:03:32.577,12972.71,9526.35
2021-11-02 12:03:35.677,12974.88,9550.34
2021-11-02 12:03:38.677,12977.79,9524.76
2021-11-02 12:03:41.677,12973.11,9539.9
2021-11-02 12:03:45.097,12976.32,9522.88
2021-11-02 12:03:48.257,12972.64,9539.82
2021-11-02 12:03:51.397,12973.45,9540.32
2021-11-02 12:03:54.497,12976.11,9530.54
2021-11-02 12:03:57.597,12976.79,9533.68
2021-11-02 12:04:00.677,12976.9,9528.81
2021-11-02 12:04:03.657,12976.02,9547.63
2021-11-02 12:04:07.057,12975.15,9549.93
2021-11-02 12:04:10.157,12966.37,9538.95
2021-11-02 12:04:13.257,12972.12,9528.02
2021-11-02 12:04:16.357,12969.02,9538.61
2021-11-02 12:04:19.477,12964.48,9547.06
2021-11-02 12:04:22.597,12971.85,9521.84
2021-11-02 12:04:25.657,12972.86,9541.65
2021-11-02 12:04:28.657,12973.78,9536.99
2021-11-02 12:04:31.677,12968.48,9523.63
2021-11-02 12:04:35.157,12973.08,9528.72
2021-11-02 12:04:38.277,12967.83,9525.05
2021-11-02 12:04:41.377,12958.67,9540.4
2021-11-02 12:04:44.477,12965.78,9520.28
2021-11-02 12:04:47.597,12960.06,9548.87
2021-11-02 12:04:50.677,12964.47,9521.78
2021-11-02 12:04:53.677,12970.37,9534.33
2021-11-02 12:04:56.677,12969.33,9541.54
2021-11-02 12:05:00.057,12963.61,9525.91
2021-11-02 12:05:03.277,12972.04,9540.54
2021-11-02 12:05:06.397,12969.44,9528.43
2021-11-02 12:05:09.537,12961.29,9544.52
2021-11-02 12:05:12.657,12966.67,9525.42
2021-11-02 12:05:15.677,12969.1,9543.1
2021-11-02 12:05:18.687,12970.85,9527.71
2021-11-02 12:05:21.657,12967.3,9526.88
2021-11-02 12:05:25.097,12967.26,9521.81
2021-11-02 12:05:28.277,12978.3,9526.72
2021-11-02 12:05:31.377,12980.42,9526.03
2021-11-02 12:05:34.517,12970.37,9521.52
2021-11-02 12:05:37.597,12970.27,9534.28
2021-11-02 12:05:40.663,12968.66,9532.82
2021-11-02 12:05:43.657,12964.78,9526.71
2021-11-02 12:05:46.657,12976.19,9550.87
2021-11-02 12:05:49.657,12972.04,9528.06
2021-11-02 12:05:53.077,12971.49,9544.47
2021-11-02 12:05:56.157,12967.72,9523.77
2021-11-02 12:05:59.257,12967.86,9533.98
2021-11-02 12:06:02.417,12964.72,9549.64
2021-11-02 12:06:05.517,12964.44,9527.23
2021-11-02 12:06:08.657,12964.43,9536.38
2021-11-02 12:06:11.657,12970.06,9529.33
2021-11-02 12:06:14.657,12979.85,9530.52
2021-11-02 12:06:17.657,12977.53,9549.23
2021-11-02 12:06:21.077,12979.14,9523.18
2021-11-02 12:06:24.277,12974.22,9544.07
2021-11-02 12:06:27.477,12973.31,9525.07
2021-11-02 12:06:30.577,12971.52,9545.77
2021-11-02 12:06:33.657,12972.39,9528.21
2021-11-02 12:06:36.657,12976.74,9524.57
2021-11-02 12:06:39.657,12975.9,9540.07
2021-11-02 12:06:43.057,12972.93,9535.01
2021-11-02 12:06:46.197,12973.92,9551.03
2021-11-02 12:06:49.297,12976.29,9522.46
2021-11-02 12:06:52.397,12975.57,9536.12
2021-11-02 12:06:55.497,12975.68,9534.07
2021-11-02 12:06:58.597,12978.68,9526.62
2021-11-02 12:07:01.657,12975.64,9546.79
2021-11-02 12:07:04.657,12974.68,9536.69
2021-11-02 12:07:07.657,12968.12,9525.01
2021-11-02 12:07:11.077,12976.14,9528.09
2021-11-02 12:07:14.197,12972.39,9542.93
2021-11-02 12:07:17.337,12972.04,9535.42
2021-11-02 12:07:20.457,12966.03,9520.36
2021-11-02 12:07:23.537,12970.56,9541.41
2021-11-02 12:07:26.657,12981.49,9524.86
2021-11-02 12:07:29.657,12975.62,9548.85
2021-11-02 12:07:32.657,12965.44,9542.6
2021-11-02 12:07:36.057,12971.35,9522.24
2021-11-02 12:07:39.157,12966.24,9538.32
2021-11-02 12:07:42.257,12966.1,9524.38
2021-11-02 12:07:45.377,12970.44,9552.2
2021-11-02 12:07:48.457,12966.26,9527.22
2021-11-02 12:07:51.597,12965.54,9532.71
2021-11-02 12:07:54.657,12964.63,9532.01
2021-11-02 12:07:57.657,12965.61,9530.18
2021-11-02 12:08:00.657,12965.79,9550.54
2021-11-02 12:08:04.057,12974.13,9542.68
2021-11-02 12:08:07.137,12965.21,9538.01
2021-11-02 12:08:10.197,12965.88,9529.41
2021-11-02 12:08:13.277,12965.71,9542.76
2021-11-02 12:08:16.397,12971.42,9536.52
2021-11-02 12:08:19.477,12970.07,9525.08
2021-11-02 12:08:22.577,12974.88,9544.03
2021-11-02 12:08:25.657,12980.5,9529.66
2021-11-02 12:08:28.657,12976.2,9528.71
2021-11-02 12:08:31.657,12969.59,9551.73
2021-11-02 12:08:34.657,12964.34,9524.68
2021-11-02 12:08:38.117,12976.02,9535.1
2021-11-02 12:08:41.217,12975.96,9524.66
2021-11-02 12:08:44.337,12973.78,9537.74
2021-11-02 12:08:47.437,12974.26,9540.57
2021-11-02 12:08:50.537,12973.99,9524.87
2021-11-02 12:08:53.637,12973.14,9532.81
2021-11-02 12:08:56.657,12965.93,9526.71
2021-11-02 12:08:59.657,12969.25,9548.89
2021-11-02 12:09:02.657,12979.99,9544.3
2021-11-02 12:09:06.097,12972.17,9533.63
2021-11-02 12:09:09.257,12972.47,9531.34
2021-11-02 12:09:12.417,12980.86,9533.41
2021-11-02 12:09:15.557,12981.52,9550.84
2021-11-02 12:09:18.657,12974.0,9521.53
2021-11-02 12:09:21.657,12972.33,9542.09
2021-11-02 12:09:24.677,12975.35,9522.7
2021-11-02 12:09:28.137,12975.17,9544.54
2021-11-02 12:09:31.237,12974.32,9538.86
2021-11-02 12:09:34.357,12978.87,9532.19
2021-11-02 12:09:37.517,12976.17,9529.92
2021-11-02 12:09:40.617,12980.43,9538.31
2021-11-02 12:09:43.657,12977.23,9538.38
2021-11-02 12:09:46.657,12974.79,9521.41
2021-11-02 12:09:49.657,12977.83,9529.75
2021-11-02 12:09:52.657,12977.68,9544.42
2021-11-02 12:09:56.097,12975.49,9537.68
2021-11-02 12:09:59.277,12974.75,9534.03
2021-11-02 12:10:02.377,12977.21,9522.34
2021-11-02 12:10:05.517,12979.21,9543.93
2021-11-02 12:10:08.617,12982.15,9523.77
2021-11-02 12:10:11.657,12983.06,9551.32
2021-11-02 12:10:14.657,12971.58,9540.38
2021-11-02 12:10:17.657,12971.04,9523.5
2021-11-02 12:10:21.057,12973.36,9540.1
2021-11-02 12:10:24.257,12972.04,9526.33
2021-11-02 12:10:27.377,12975.05,9549.4
2021-11-02 12:10:30.477,12973.86,9520.72
2021-11-02 12:10:33.577,12971.11,9538.27
2021-11-02 12:10:36.657,12975.24,9537.26
2021-11-02 12:10:39.657,12977.17,9522.46
2021-11-02 12:10:42.657,12982.77,9536.87
2021-11-02 12:10:45.657,12976.03,9550.6
2021-11-02 12:10:49.097,12982.71,9521.46
2021-11-02 12:10:52.237,12981.1,9542.92
2021-11-02 12:10:55.357,12982.31,9521.13
2021-11-02 12:10:58.617,12982.49,9547.72
2021-11-02 12:11:01.657,12982.4,9521.45
2021-11-02 12:11:04.657,12981.82,9540.62
2021-11-02 12:11:07.657,12981.35,9532.1
2021-11-02 12:11:11.117,12977.55,9533.06
2021-11-02 12:11:14.217,12978.66,9536.56
2021-11-02 12:11:17.317,12984.86,9532.58
2021-11-02 12:11:20.397,12978.0,9544.11
2021-11-02 12:11:23.557,12972.81,9523.95
2021-11-02 12:11:26.657,12978.68,9547.87
2021-11-02 12:11:29.657,12980.08,9532.73
2021-11-02 12:11:32.657,12981.19,9523.49
2021-11-02 12:11:35.657,12983.98,9544.28
2021-11-02 12:11:39.057,12971.31,9524.75
2021-11-02 12:11:42.137,12973.16,9546.1
2021-11-02 12:11:45.237,12974.29,9541.06
2021-11-02 12:11:48.337,12979.84,9526.51
2021-11-02 12:11:51.417,12974.36,9535.41
2021-11-02 12:11:54.537,12971.1,9521.68
2021-11-02 12:11:57.657,12974.63,9547.96
2021-11-02 12:12:00.637,12975.13,9534.9
2021-11-02 12:12:03.657,12976.02,9520.18
2021-11-02 12:12:06.657,12982.59,9538.41
2021-11-02 12:12:10.113,12975.97,9522.16
2021-11-02 12:12:13.217,12972.81,9547.58
2021-11-02 12:12:16.317,12983.34,9524.66
2021-11-02 12:12:19.417,12981.04,9538.58
2021-11-02 12:12:22.617,12980.77,9531.65
2021-11-02 12:12:25.653,12978.24,9522.33
2021-11-02 12:12:28.657,12973.32,9542.11
2021-11-02 12:12:31.657,12968.75,9546.12
2021-11-02 12:12:35.097,12976.33,9539.7
2021-11-02 12:12:38.253,12972.13,9523.99
2021-11-02 12:12:41.357,12971.04,9540.39
2021-11-02 12:12:44.497,12970.51,9538.94
2021-11-02 12:12:47.617,12969.95,9523.72
2021-11-02 12:12:50.657,12973.5,9540.48
2021-11-02 12:12:53.653,12964.92,9539.5
2021-11-02 12:12:56.653,12969.34,9521.56
2021-11-02 12:13:00.077,12970.49,9535.48
2021-11-02 12:13:03.233,12970.78,9534.29
2021-11-02 12:13:06.357,12976.22,9535.59
2021-11-02 12:13:09.457,12975.68,9528.76
2021-11-02 12:13:12.557,12982.8,9542.43
2021-11-02 12:13:15.653,12978.5,9522.61
2021-11-02 12:13:18.657,12969.92,9542.77
2021-11-02 12:13:21.657,12973.15,9525.1
2021-11-02 12:13:25.077,12972.67,9522.09
2021-11-02 12:13:28.177,12971.4,9542.47
2021-11-02 12:13:31.277,12971.26,9538.65
2021-11-02 12:13:34.377,12971.61,9538.87
2021-11-02 12:13:37.477,12967.51,9530.57
2021-11-02 12:13:40.577,12970.28,9544.7
2021-11-02 12:13:43.653,12967.28,9522.09
2021-11-02 12:13:46.657,12975.61,9534.01
2021-11-02 12:13:49.657,12972.68,9543.47
2021-11-02 12:13:52.657,12965.68,9529.45
2021-11-02 12:13:56.093,12975.59,9550.21
2021-11-02 12:13:59.173,12972.91,9526.74
2021-11-02 12:14:02.277,12971.58,9538.43
2021-11-02 12:14:05.377,12967.53,9524.86
2021-11-02 12:14:08.493,12970.35,9541.82
2021-11-02 12:14:11.593,12972.99,9543.75
2021-11-02 12:14:14.653,12964.46,9521.39
2021-11-02 12:14:17.653,12966.92,9531.43
2021-11-02 12:14:20.653,12970.99,9541.06
2021-11-02 12:14:24.077,12969.18,9525.09
2021-11-02 12:14:27.193,12971.61,9549.07
